CODE,Date,Hour,TMP,WSP,WDR
KBED,5/5/2016,12,47,15,50
KBED,5/5/2016,13,49,14,60
KBED,5/5/2016,14,48,16,50
KBED,5/5/2016,15,47,16,40
KBED,5/5/2016,16,46,16,50
KBED,5/5/2016,17,45,13,50
KBED,5/5/2016,18,45,10,40
KBED,5/5/2016,19,45,9,40
KBED,5/5/2016,20,45,12,30
KBED,5/5/2016,21,45,12,10
KBED,5/5/2016,22,45,7,20
KBED,5/5/2016,23,45,7,350
KORH,5/5/2016,0,39,13,40
KORH,5/5/2016,1,39,14,30
KORH,5/5/2016,2,39,12,30
KORH,5/5/2016,3,39,12,40
KORH,5/5/2016,4,39,12,20
KORH,5/5/2016,5,39,9,20
KORH,5/5/2016,6,39,10,30
KORH,5/5/2016,7,39,12,30
KORH,5/5/2016,8,40,10,40
KORH,5/5/2016,9,41,13,40
KORH,5/5/2016,10,42,10,40
KORH,5/5/2016,11,43,12,40
KORH,5/5/2016,12,44,12,40
KORH,5/5/2016,13,44,14,60
KORH,5/5/2016,14,44,10,60
KORH,5/5/2016,15,44,13,50
KORH,5/5/2016,16,43,10,40
KORH,5/5/2016,17,43,13,50
KORH,5/5/2016,18,42,12,50
KORH,5/5/2016,19,42,10,40
KORH,5/5/2016,20,42,13,40
KORH,5/5/2016,21,43,12,40
KORH,5/5/2016,22,43,15,30
KORH,5/5/2016,23,43,13,30
KPSM,5/5/2016,0,43,9,30
KPSM,5/5/2016,1,43,14,30
KPSM,5/5/2016,2,43,8,30
KPSM,5/5/2016,3,43,8,20
KPSM,5/5/2016,4,43,10,350
KPSM,5/5/2016,5,43,8,10
KPSM,5/5/2016,6,44,9,20
KPSM,5/5/2016,7,44,8,20
KPSM,5/5/2016,8,45,10,30
KPSM,5/5/2016,9,46,9,20
KPSM,5/5/2016,10,46,10,30
KPSM,5/5/2016,11,47,14,40
KPSM,5/5/2016,12,47,12,20
KPSM,5/5/2016,13,47,7,50
KPSM,5/5/2016,14,47,10,50
KPSM,5/5/2016,15,46,13,40
KPSM,5/5/2016,16,46,10,40
KPSM,5/5/2016,17,46,10,40
KPSM,5/5/2016,18,46,7,50
KPSM,5/5/2016,19,45,7,40
KPSM,5/5/2016,20,45,8,30
KPSM,5/5/2016,21,45,10,10
KPSM,5/5/2016,22,45,8,20
KPSM,5/5/2016,23,45,12,10
KPWM,5/5/2016,0,43,9,50
KPWM,5/5/2016,1,43,8,50
KPWM,5/5/2016,2,43,7,20
KPWM,5/5/2016,3,43,10,20
KPWM,5/5/2016,4,43,9,10
KPWM,5/5/2016,5,43,8,360
KPWM,5/5/2016,6,44,10,10
KPWM,5/5/2016,7,44,13,30
KPWM,5/5/2016,8,44,9,20
KPWM,5/5/2016,9,45,10,30
KPWM,5/5/2016,10,46,14,10
KPWM,5/5/2016,11,46,13,30
KPWM,5/5/2016,12,47,15,20
KPWM,5/5/2016,13,47,14,40
KPWM,5/5/2016,14,48,13,50
KPWM,5/5/2016,15,47,10,50
KPWM,5/5/2016,16,48,13,40
KPWM,5/5/2016,17,47,13,20
KPWM,5/5/2016,18,47,17,20
KPWM,5/5/2016,19,47,12,30
KPWM,5/5/2016,20,47,15,20
KPWM,5/5/2016,21,47,12,20
KPWM,5/5/2016,22,46,10,20
KPWM,5/5/2016,23,46,9,360
KBED,5/6/2016,0,45,7,360
KBED,5/6/2016,1,45,9,10
KBED,5/6/2016,2,46,6,360
KBED,5/6/2016,3,46,8,10
KBED,5/6/2016,4,46,5,350
KBED,5/6/2016,5,46,3,290
KBED,5/6/2016,6,47,6,360
KBED,5/6/2016,7,49,6,40
KBED,5/6/2016,8,50,10,60
KBED,5/6/2016,9,51,12,40
KBED,5/6/2016,10,52,10,70
KBED,5/6/2016,11,53,9,70
KBED,5/6/2016,12,57,16,60
KBED,5/6/2016,13,58,13,80
KBED,5/6/2016,14,60,15,90
KBED,5/6/2016,15,55,15,130
KBED,5/6/2016,16,54,14,90
KBED,5/6/2016,17,54,13,90
KBED,5/6/2016,18,50,14,120
KBED,5/6/2016,19,49,17,90
KBED,5/6/2016,20,48,10,100
KBED,5/6/2016,21,47,10,90
KBED,5/6/2016,22,46,7,70
KBED,5/6/2016,23,46,3,50
KORH,5/6/2016,0,43,14,30
KORH,5/6/2016,1,43,14,40
KORH,5/6/2016,2,43,10,40
KORH,5/6/2016,3,44,5,0
KORH,5/6/2016,4,44,9,20
KORH,5/6/2016,5,44,8,10
KORH,5/6/2016,6,44,8,30
KORH,5/6/2016,7,46,10,30
KORH,5/6/2016,8,47,9,50
KORH,5/6/2016,9,49,14,50
KORH,5/6/2016,10,50,10,60
KORH,5/6/2016,11,52,10,70
KORH,5/6/2016,12,53,10,60
KORH,5/6/2016,13,55,12,60
